Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00001	7 transmembrane receptor (rhodopsin family)	pfam	family	IPR000276		
PF00002	7 transmembrane receptor (Secretin family)	pfam	family	IPR000832		
PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	pfam	domain	IPR017978		
PF00004	ATPase family associated with various cellular activities (AAA)	pfam	domain	IPR003959		
PF00005	ABC transporter	pfam	domain	IPR003439		
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	pfam	domain	IPR000194		
PF00007	Cystine-knot domain	pfam	domain	IPR006208		
PF00008	EGF-like domain	pfam	domain	IPR000742		
PF00009	Elongation factor Tu GTP binding domain	pfam	domain	IPR000795		
PF00010	Helix-loop-helix DNA-binding domain	pfam	domain	IPR011598		
PF00011	Hsp20/alpha crystallin family	pfam	domain	IPR002068		
PF00012	Hsp70 protein	pfam	family	IPR013126		
PF00013	KH domain	pfam	domain	IPR004088		
PF00014	Kunitz/Bovine pancreatic trypsin inhibitor domain	pfam	domain	IPR002223		
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	pfam	family	IPR004089		
PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	pfam	domain	IPR000685		
PF00017	SH2 domain	pfam	domain	IPR000980		
PF00018	SH3 domain	pfam	domain	IPR001452		
PF00019	Transforming growth factor beta like domain	pfam	domain	IPR001839		
PF00020	TNFR/NGFR cysteine-rich region	pfam	domain	IPR001368		
PF00021	u-PAR/Ly-6 domain	pfam	domain	IPR016054		
PF00022	Actin	pfam	family	IPR004000		
PF00023	Ankyrin repeat	pfam	repeat	IPR002110		
PF00024	PAN domain	pfam	domain	IPR003609		
PF00025	ADP-ribosylation factor family	pfam	domain	IPR006689		
PF00026	Eukaryotic aspartyl protease	pfam	family	IPR033121		
PF00027	Cyclic nucleotide-binding domain	pfam	domain	IPR000595		
PF00028	Cadherin domain	pfam	domain	IPR002126		
PF00029	Connexin	pfam	domain	IPR013092		
PF00030	Beta/Gamma crystallin	pfam	domain	IPR001064		
PF00031	Cystatin domain	pfam	domain	IPR000010		
PF00032	Cytochrome b(C-terminal)/b6/petD	pfam	domain	IPR005798		
PF00033	Cytochrome b/b6/petB	pfam	domain	IPR005797		
PF00034	Cytochrome c	pfam	domain	IPR009056		
PF00035	Double-stranded RNA binding motif	pfam	domain	IPR014720		
PF00036	EF hand	pfam	domain	IPR002048		
PF00037	4Fe-4S binding domain	pfam	domain	IPR017896		
PF00038	Intermediate filament protein	pfam	unknown	IPR039008		
PF00039	Fibronectin type I domain	pfam	domain	IPR000083		
PF00040	Fibronectin type II domain	pfam	domain	IPR000562		
PF00041	Fibronectin type III domain	pfam	domain	IPR003961		
PF00042	Globin	pfam	domain	IPR000971		
PF00043	Glutathione S-transferase, C-terminal domain	pfam	domain	IPR004046		
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	pfam	domain	IPR020828		
PF00045	Hemopexin	pfam	repeat	IPR018487		
PF00046	Homeodomain	pfam	domain	IPR001356		
PF00047	Immunoglobulin domain	pfam	domain	IPR013151		
PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like	pfam	domain	IPR001811		
PF00049	Insulin/IGF/Relaxin family	pfam	domain	IPR016179		
PF00050	Kazal-type serine protease inhibitor domain	pfam	domain	IPR002350		
PF00051	Kringle domain	pfam	domain	IPR000001		
PF00052	Laminin B (Domain IV)	pfam	domain	IPR000034		
PF00053	Laminin EGF domain	pfam	domain	IPR002049		
PF00054	Laminin G domain	pfam	domain	IPR001791		
PF00055	Laminin N-terminal (Domain VI)	pfam	domain	IPR008211		
PF00056	lactate/malate dehydrogenase, NAD binding domain	pfam	domain	IPR001236		
PF00057	Low-density lipoprotein receptor domain class A	pfam	repeat	IPR002172		
PF00058	Low-density lipoprotein receptor repeat class B	pfam	repeat	IPR000033		
PF00059	Lectin C-type domain	pfam	domain	IPR001304		
PF00060	Ligand-gated ion channel	pfam	family	IPR001320		
PF00061	Lipocalin / cytosolic fatty-acid binding protein family	pfam	domain	IPR000566		
PF00062	C-type lysozyme/alpha-lactalbumin family	pfam	domain	IPR001916		
PF00063	Myosin head (motor domain)	pfam	domain	IPR001609		
PF00064	Neuraminidase	pfam	repeat	IPR001860		
PF00066	LNR domain	pfam	domain	IPR000800		
PF00067	Cytochrome P450	pfam	domain	IPR001128		
PF00068	Phospholipase A2	pfam	domain	IPR016090		
PF00069	Protein kinase domain	pfam	domain	IPR000719		
PF00070	Pyridine nucleotide-disulphide oxidoreductase	pfam	domain	IPR039648		
PF00071	Ras family	pfam	domain	IPR001806		
PF00072	Response regulator receiver domain	pfam	domain	IPR001789		
PF00073	picornavirus capsid protein	pfam	domain	IPR001676		
